parameter,location,species,year,datavalue
Total exploitation rate,Hecate Lowlands,Chum,2015,0.245215973
Total exploitation rate,Hecate Lowlands,Chum,2016,0.165649235
Total exploitation rate,Hecate Lowlands,Chum,2017,0.099814224
Total exploitation rate,Mussel-Kynoch,Chum,1954,0.485216268
Total exploitation rate,Mussel-Kynoch,Chum,1955,0.321962738
Total exploitation rate,Mussel-Kynoch,Chum,1956,0.522364187
Total exploitation rate,Mussel-Kynoch,Chum,1957,0.564983592
Total exploitation rate,Mussel-Kynoch,Chum,1958,0.44244976
Total exploitation rate,Mussel-Kynoch,Chum,1959,0.326529379
Total exploitation rate,Mussel-Kynoch,Chum,1960,0.377835847
Total exploitation rate,Mussel-Kynoch,Chum,1961,0.475877738
Total exploitation rate,Mussel-Kynoch,Chum,1962,0.382026421
Total exploitation rate,Mussel-Kynoch,Chum,1963,0.436380775
Total exploitation rate,Mussel-Kynoch,Chum,1964,0.410634489
Total exploitation rate,Mussel-Kynoch,Chum,1965,0.38473113
Total exploitation rate,Mussel-Kynoch,Chum,1966,0.303976762
Total exploitation rate,Mussel-Kynoch,Chum,1967,0.175418973
Total exploitation rate,Mussel-Kynoch,Chum,1968,0.356026795
Total exploitation rate,Mussel-Kynoch,Chum,1969,0.360160623
Total exploitation rate,Mussel-Kynoch,Chum,1970,0.632563505
Total exploitation rate,Mussel-Kynoch,Chum,1971,0.41400324
Total exploitation rate,Mussel-Kynoch,Chum,1972,0.570073472
Total exploitation rate,Mussel-Kynoch,Chum,1973,0.465122825
Total exploitation rate,Mussel-Kynoch,Chum,1974,0.447625994
Total exploitation rate,Mussel-Kynoch,Chum,1975,0.294252013
Total exploitation rate,Mussel-Kynoch,Chum,1976,0.300251484
Total exploitation rate,Mussel-Kynoch,Chum,1977,0.294301549
Total exploitation rate,Mussel-Kynoch,Chum,1978,0.425880293
Total exploitation rate,Mussel-Kynoch,Chum,1979,0.429948835
Total exploitation rate,Mussel-Kynoch,Chum,1980,0.662046286
Total exploitation rate,Mussel-Kynoch,Chum,1981,0.450383005
Total exploitation rate,Mussel-Kynoch,Chum,1982,0.426464727
Total exploitation rate,Mussel-Kynoch,Chum,1983,0.329042461
Total exploitation rate,Mussel-Kynoch,Chum,1984,0.329119097
Total exploitation rate,Mussel-Kynoch,Chum,1985,0.404010122
Total exploitation rate,Mussel-Kynoch,Chum,1986,0.448367117
Total exploitation rate,Mussel-Kynoch,Chum,1987,0.466771115
Total exploitation rate,Mussel-Kynoch,Chum,1988,0.505973943
Total exploitation rate,Mussel-Kynoch,Chum,1989,0.153604436
Total exploitation rate,Mussel-Kynoch,Chum,1990,0.386630968
Total exploitation rate,Mussel-Kynoch,Chum,1991,0.29230251
Total exploitation rate,Mussel-Kynoch,Chum,1992,0.325410951
Total exploitation rate,Mussel-Kynoch,Chum,1993,0.215553761
Total exploitation rate,Mussel-Kynoch,Chum,1994,0.351726369
Total exploitation rate,Mussel-Kynoch,Chum,1995,0.205948684
Total exploitation rate,Mussel-Kynoch,Chum,1996,0.14520872
Total exploitation rate,Mussel-Kynoch,Chum,1997,0.114828042
Total exploitation rate,Mussel-Kynoch,Chum,1998,0.255638082
Total exploitation rate,Mussel-Kynoch,Chum,1999,0.208931876
Total exploitation rate,Mussel-Kynoch,Chum,2000,0.139674085
Total exploitation rate,Mussel-Kynoch,Chum,2001,0.296035476
Total exploitation rate,Mussel-Kynoch,Chum,2002,0.352943608
Total exploitation rate,Mussel-Kynoch,Chum,2003,0.438677618
Total exploitation rate,Mussel-Kynoch,Chum,2004,0.428059461
Total exploitation rate,Mussel-Kynoch,Chum,2005,0.441268714
Total exploitation rate,Mussel-Kynoch,Chum,2006,0.137608066
Total exploitation rate,Mussel-Kynoch,Chum,2007,0.119071853
Total exploitation rate,Mussel-Kynoch,Chum,2008,0.049964345
Total exploitation rate,Mussel-Kynoch,Chum,2009,0.129809663
Total exploitation rate,Mussel-Kynoch,Chum,2010,0.042631344
Total exploitation rate,Mussel-Kynoch,Chum,2011,0.220700024
Total exploitation rate,Mussel-Kynoch,Chum,2012,0.198457165
Total exploitation rate,Mussel-Kynoch,Chum,2013,0.175222526
Total exploitation rate,Mussel-Kynoch,Chum,2014,0.19419832
Total exploitation rate,Mussel-Kynoch,Chum,2015,0.381012003
Total exploitation rate,Mussel-Kynoch,Chum,2016,0.194072183
Total exploitation rate,Mussel-Kynoch,Chum,2017,0.155803804
Total exploitation rate,Rivers Inlet,Chum,1954,0.316243006
Total exploitation rate,Rivers Inlet,Chum,1955,0.615870797
Total exploitation rate,Rivers Inlet,Chum,1956,0.20899351
Total exploitation rate,Rivers Inlet,Chum,1957,0.281383566
Total exploitation rate,Rivers Inlet,Chum,1958,0.172097947
Total exploitation rate,Rivers Inlet,Chum,1959,0.282355497
Total exploitation rate,Rivers Inlet,Chum,1960,0.300554909
Total exploitation rate,Rivers Inlet,Chum,1961,0.312214352
Total exploitation rate,Rivers Inlet,Chum,1962,0.273381741
Total exploitation rate,Rivers Inlet,Chum,1963,0.232154412
Total exploitation rate,Rivers Inlet,Chum,1964,0.276232769
Total exploitation rate,Rivers Inlet,Chum,1965,0.772023057
Total exploitation rate,Rivers Inlet,Chum,1966,0.127336001
Total exploitation rate,Rivers Inlet,Chum,1967,0.459254393
Total exploitation rate,Rivers Inlet,Chum,1968,0.389810901
Total exploitation rate,Rivers Inlet,Chum,1969,0.828004925
Total exploitation rate,Rivers Inlet,Chum,1970,0.528124742
Total exploitation rate,Rivers Inlet,Chum,1971,0.345563571
Total exploitation rate,Rivers Inlet,Chum,1972,0.325756252
Total exploitation rate,Rivers Inlet,Chum,1973,0.508598522
Total exploitation rate,Rivers Inlet,Chum,1974,0.343743418
Total exploitation rate,Rivers Inlet,Chum,1975,0.241620295
Total exploitation rate,Rivers Inlet,Chum,1976,0.59754964
Total exploitation rate,Rivers Inlet,Chum,1977,0.694987982
Total exploitation rate,Rivers Inlet,Chum,1978,0.440662072
Total exploitation rate,Rivers Inlet,Chum,1979,0.321270587
Total exploitation rate,Rivers Inlet,Chum,1980,0.143068335
Total exploitation rate,Rivers Inlet,Chum,1981,0.20275475
Total exploitation rate,Rivers Inlet,Chum,1982,0.04099963
Total exploitation rate,Rivers Inlet,Chum,1983,0.06420792
Total exploitation rate,Rivers Inlet,Chum,1984,0.223952978
Total exploitation rate,Rivers Inlet,Chum,1985,0.214981471
Total exploitation rate,Rivers Inlet,Chum,1986,0.349576847
Total exploitation rate,Rivers Inlet,Chum,1987,0.203196276
Total exploitation rate,Rivers Inlet,Chum,1988,0.287184666
Total exploitation rate,Rivers Inlet,Chum,1989,0.587927322
Total exploitation rate,Rivers Inlet,Chum,1990,0.665277238
Total exploitation rate,Rivers Inlet,Chum,1991,0.371479236
Total exploitation rate,Rivers Inlet,Chum,1992,0.551953978
Total exploitation rate,Rivers Inlet,Chum,1993,0.385289392
Total exploitation rate,Rivers Inlet,Chum,1994,0.329616977
Total exploitation rate,Rivers Inlet,Chum,1995,0.256887966
Total exploitation rate,Rivers Inlet,Chum,1996,0
Total exploitation rate,Rivers Inlet,Chum,1997,0
Total exploitation rate,Rivers Inlet,Chum,1998,0
Total exploitation rate,Rivers Inlet,Chum,1999,0
Total exploitation rate,Rivers Inlet,Chum,2000,0
Total exploitation rate,Rivers Inlet,Chum,2001,0
Total exploitation rate,Rivers Inlet,Chum,2002,0
Total exploitation rate,Rivers Inlet,Chum,2003,0
Total exploitation rate,Rivers Inlet,Chum,2004,0
Total exploitation rate,Rivers Inlet,Chum,2005,0
Total exploitation rate,Rivers Inlet,Chum,2006,0
Total exploitation rate,Rivers Inlet,Chum,2007,0
Total exploitation rate,Rivers Inlet,Chum,2008,0
Total exploitation rate,Rivers Inlet,Chum,2009,0
Total exploitation rate,Rivers Inlet,Chum,2010,0
Total exploitation rate,Rivers Inlet,Chum,2011,0
Total exploitation rate,Rivers Inlet,Chum,2012,0
Total exploitation rate,Rivers Inlet,Chum,2014,0
Total exploitation rate,Smith Inlet,Chum,1954,0.377098925
Total exploitation rate,Smith Inlet,Chum,1955,0.697470725
Total exploitation rate,Smith Inlet,Chum,1956,0.302135773
Total exploitation rate,Smith Inlet,Chum,1957,0.450991908
Total exploitation rate,Smith Inlet,Chum,1958,0.156772253
Total exploitation rate,Smith Inlet,Chum,1959,0.304248147
Total exploitation rate,Smith Inlet,Chum,1960,0.368121503
Total exploitation rate,Smith Inlet,Chum,1961,0.392146737
Total exploitation rate,Smith Inlet,Chum,1962,0.338642633
Total exploitation rate,Smith Inlet,Chum,1963,0.334878133
Total exploitation rate,Smith Inlet,Chum,1964,0.418253019
Total exploitation rate,Smith Inlet,Chum,1965,0.706447424
Total exploitation rate,Smith Inlet,Chum,1966,0.488737302
Total exploitation rate,Smith Inlet,Chum,1967,0.350824434
Total exploitation rate,Smith Inlet,Chum,1968,0.59576075
Total exploitation rate,Smith Inlet,Chum,1969,0.813325303
Total exploitation rate,Smith Inlet,Chum,1970,0.63582556
Total exploitation rate,Smith Inlet,Chum,1971,0.329467874
Total exploitation rate,Smith Inlet,Chum,1972,0.298836363
Total exploitation rate,Smith Inlet,Chum,1973,0.382518614
Total exploitation rate,Smith Inlet,Chum,1974,0.274988085
Total exploitation rate,Smith Inlet,Chum,1975,0.250736172
Total exploitation rate,Smith Inlet,Chum,1976,0.392202684
Total exploitation rate,Smith Inlet,Chum,1977,0.414626603
Total exploitation rate,Smith Inlet,Chum,1978,0.397713862
Total exploitation rate,Smith Inlet,Chum,1979,0.369505773
Total exploitation rate,Smith Inlet,Chum,1980,0.159113766
Total exploitation rate,Smith Inlet,Chum,1981,0.146207398
Total exploitation rate,Smith Inlet,Chum,1982,0.097285809
Total exploitation rate,Smith Inlet,Chum,1983,0.06874226
Total exploitation rate,Smith Inlet,Chum,1984,0.200859917
Total exploitation rate,Smith Inlet,Chum,1985,0.28662197
Total exploitation rate,Smith Inlet,Chum,1986,0.292841962
Total exploitation rate,Smith Inlet,Chum,1987,0.209593143
Total exploitation rate,Smith Inlet,Chum,1988,0.214449937
Total exploitation rate,Smith Inlet,Chum,1989,0.404161902
Total exploitation rate,Smith Inlet,Chum,1990,0.370278872
Total exploitation rate,Smith Inlet,Chum,1991,0.334107061
Total exploitation rate,Smith Inlet,Chum,1992,0.518532961
Total exploitation rate,Smith Inlet,Chum,1993,0.361602131
Total exploitation rate,Smith Inlet,Chum,1994,0.389545748
Total exploitation rate,Smith Inlet,Chum,1995,0.185244621
Total exploitation rate,Smith Inlet,Chum,1996,0.017296034
Total exploitation rate,Smith Inlet,Chum,1997,0
Total exploitation rate,Smith Inlet,Chum,1998,0
Total exploitation rate,Smith Inlet,Chum,1999,0
Total exploitation rate,Smith Inlet,Chum,2000,0
Total exploitation rate,Smith Inlet,Chum,2001,0
Total exploitation rate,Smith Inlet,Chum,2002,0
Total exploitation rate,Smith Inlet,Chum,2003,0
Total exploitation rate,Smith Inlet,Chum,2004,0
Total exploitation rate,Smith Inlet,Chum,2005,0
Total exploitation rate,Smith Inlet,Chum,2006,0
Total exploitation rate,Smith Inlet,Chum,2007,0
Total exploitation rate,Smith Inlet,Chum,2008,0
Total exploitation rate,Smith Inlet,Chum,2009,0
Total exploitation rate,Smith Inlet,Chum,2010,0
Total exploitation rate,Smith Inlet,Chum,2011,0
Total exploitation rate,Smith Inlet,Chum,2012,0
Total exploitation rate,Smith Inlet,Chum,2013,0
Total exploitation rate,Smith Inlet,Chum,2014,0
Total exploitation rate,Smith Inlet,Chum,2016,0.002885646
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1954,0.373647219
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1955,0.512951717
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1956,0.3626334
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1957,0.487720388
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1958,0.329594614
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1959,0.283324758
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1960,0.382900969
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1961,0.417074502
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1962,0.427046808
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1963,0.367105878
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1964,0.403877795
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1965,0.580211592
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1966,0.291449502
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1967,0.348823771
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1968,0.388109124
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1969,0.522575036
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1970,0.520130904
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1971,0.370595396
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1972,0.427690663
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1973,0.502765808
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1974,0.455106153
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1975,0.397805811
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1976,0.55690073
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1977,0.411926557
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1978,0.53275669
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1979,0.44132101
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1980,0.500534267
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1981,0.455830763
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1982,0.325537399
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1983,0.244413826
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1984,0.325097629
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1985,0.427631183
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1986,0.562056263
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1987,0.472416971
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1988,0.489999743
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1989,0.459626019
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1990,0.568277724
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1991,0.435232076
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1992,0.450429915
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1993,0.39231993
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1994,0.446202089
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1995,0.416143089
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1996,0.182112818
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1997,0.17973983
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1998,0.223999585
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,1999,0.180661009
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2000,0.078886897
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2001,0.244945683
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2002,0.270069835
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2003,0.271404532
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2004,0.342987216
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2005,0.22126018
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2006,0.197846209
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2007,0.174930236
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2008,0.030245469
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2009,0.086584484
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2010,0.038158947
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2011,0.150853016
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2012,0.25084812
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2013,0.419462804
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2014,0.208942984
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2015,0.547442905
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2016,0.36419022
Total exploitation rate,Spiller-Fitz-Hugh-Burke,Chum,2017,0.214152613
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1954,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1955,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1956,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1957,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1958,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1959,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1960,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1961,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1962,0.340420755
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1963,0.309473413
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1964,0.389936501
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1965,0.297094477
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1966,0.365178628
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1967,0.290905009
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1968,0.365178628
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1969,0.309473413
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1970,0.352799691
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1971,0.352799691
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1972,0.408504906
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1973,0.315662882
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1974,0.346610223
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1975,0.28471554
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1976,0.28471554
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1977,0.365178628
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1978,0.42707331
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1979,0.439452247
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1980,0.458020652
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1981,0.414694374
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1982,0.35898916
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1983,0.50134693
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1984,0.445641715
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1985,0.46421012
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1986,0.513725866
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1987,0.396125969
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1988,0.389936501
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1989,0.380585829
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1990,0.43165282
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1991,0.384068564
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1992,0.400025779
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1993,0.348408497
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1994,0.401857559
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1995,0.235269341
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1996,0.456407886
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1997,0.453712373
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1998,0.159411327
Total exploitation rate,Bella Coola-Dean Rivers,Coho,1999,0.159679503
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2000,0.112945463
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2001,0.202681954
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2002,0.148260282
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2003,0.192025379
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2004,0.2639892
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2005,0.216332347
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2006,0.178472346
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2007,0.235107779
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2008,0.231251417
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2009,0.27449335
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2010,0.231326
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2011,0.257528672
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2012,0.204931863
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2013,0.220251891
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2014,0.145608322
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2015,0.240207857
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2016,0.248610694
Total exploitation rate,Bella Coola-Dean Rivers,Coho,2017,0
Total exploitation rate,Brim-Wahoo,Coho,1954,0.418178713
Total exploitation rate,Brim-Wahoo,Coho,1955,0.418178713
Total exploitation rate,Brim-Wahoo,Coho,1956,0.418178713
Total exploitation rate,Brim-Wahoo,Coho,1959,0.418178713
Total exploitation rate,Brim-Wahoo,Coho,1962,0.418178713
Total exploitation rate,Brim-Wahoo,Coho,1963,0.380162467
Total exploitation rate,Brim-Wahoo,Coho,1964,0.479004708
Total exploitation rate,Brim-Wahoo,Coho,1965,0.364955968
Total exploitation rate,Brim-Wahoo,Coho,1967,0.357352719
Total exploitation rate,Brim-Wahoo,Coho,1968,0.44859171
Total exploitation rate,Brim-Wahoo,Coho,1969,0.380162467
Total exploitation rate,Brim-Wahoo,Coho,1970,0.433385212
Total exploitation rate,Brim-Wahoo,Coho,1971,0.433385212
Total exploitation rate,Brim-Wahoo,Coho,1972,0.501814456
Total exploitation rate,Brim-Wahoo,Coho,1973,0.387765716
Total exploitation rate,Brim-Wahoo,Coho,1974,0.425781963
Total exploitation rate,Brim-Wahoo,Coho,1975,0.349749469
Total exploitation rate,Brim-Wahoo,Coho,1976,0.349749469
Total exploitation rate,Brim-Wahoo,Coho,1977,0.44859171
Total exploitation rate,Brim-Wahoo,Coho,1978,0.524624204
Total exploitation rate,Brim-Wahoo,Coho,1979,0.539830702
Total exploitation rate,Brim-Wahoo,Coho,1980,0.56264045
Total exploitation rate,Brim-Wahoo,Coho,1981,0.509417705
Total exploitation rate,Brim-Wahoo,Coho,1982,0.440988461
Total exploitation rate,Brim-Wahoo,Coho,1983,0.615863196
Total exploitation rate,Brim-Wahoo,Coho,1984,0.547433952
Total exploitation rate,Brim-Wahoo,Coho,1985,0.5702437
Total exploitation rate,Brim-Wahoo,Coho,1986,0.631069694
Total exploitation rate,Brim-Wahoo,Coho,1987,0.486607957
Total exploitation rate,Brim-Wahoo,Coho,1988,0.479004708
Total exploitation rate,Brim-Wahoo,Coho,1989,0.467521677
Total exploitation rate,Brim-Wahoo,Coho,1991,0.503604654
Total exploitation rate,Brim-Wahoo,Coho,1992,0.546970131
Total exploitation rate,Brim-Wahoo,Coho,1994,0.545816407
Total exploitation rate,Brim-Wahoo,Coho,1995,0.310782642
Total exploitation rate,Brim-Wahoo,Coho,1996,0.565024837
Total exploitation rate,Brim-Wahoo,Coho,1997,0.55151755
Total exploitation rate,Brim-Wahoo,Coho,1998,0.211232836
Total exploitation rate,Brim-Wahoo,Coho,1999,0.221974103
Total exploitation rate,Brim-Wahoo,Coho,2000,0.143162472
Total exploitation rate,Brim-Wahoo,Coho,2001,0.272541164
Total exploitation rate,Brim-Wahoo,Coho,2002,0.190422297
Total exploitation rate,Brim-Wahoo,Coho,2003,0.242417595
Total exploitation rate,Brim-Wahoo,Coho,2004,0.293157799
Total exploitation rate,Brim-Wahoo,Coho,2005,0.328932048
Total exploitation rate,Brim-Wahoo,Coho,2006,0.239941506
Total exploitation rate,Brim-Wahoo,Coho,2007,0.376103702
Total exploitation rate,Brim-Wahoo,Coho,2008,0.34944288
Total exploitation rate,Brim-Wahoo,Coho,2009,0.470997668
Total exploitation rate,Brim-Wahoo,Coho,2010,0.322720028
Total exploitation rate,Brim-Wahoo,Coho,2011,0.429214454
Total exploitation rate,Brim-Wahoo,Coho,2012,0.341553106
Total exploitation rate,Brim-Wahoo,Coho,2013,0.367086484
Total exploitation rate,Brim-Wahoo,Coho,2014,0.242680536
Total exploitation rate,Brim-Wahoo,Coho,2015,0.400346428
Total exploitation rate,Brim-Wahoo,Coho,2016,0.414351157
Total exploitation rate,Brim-Wahoo,Coho,2017,0
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1954,0.418178713
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1955,0.418178713
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1956,0.418178713
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1959,0.418178713
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1962,0.418178713
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1963,0.380162467
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1964,0.479004708
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1965,0.364955968
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1966,0.44859171
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1967,0.357352719
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1968,0.44859171
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1969,0.380162467
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1970,0.433385212
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1971,0.433385212
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1972,0.501814456
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1973,0.387765716
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1974,0.425781963
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1975,0.349749469
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1976,0.349749469
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1977,0.44859171
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1978,0.524624204
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1979,0.539830702
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1980,0.56264045
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1981,0.509417705
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1982,0.440988461
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1983,0.615863196
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1984,0.547433952
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1985,0.5702437
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1986,0.631069694
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1987,0.486607957
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1988,0.479004708
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1989,0.467521677
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1990,0.530245788
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1991,0.503604654
Total exploitation rate,Douglas Channel-Kitimat Arm,Coho,1992,0.546970131
